inference_time,conf_scores,class_names,bboxes
2.8751401901245117,"[100, 100, 100, 100, 98, 97, 95]","['person', 'person', 'person', 'person', 'person', 'person', 'skateboard']","[[5, 136, 43, 281], [549, 128, 611, 280], [34, 166, 72, 276], [187, 189, 202, 233], [599, 107, 639, 275], [131, 205, 149, 235], [491, 257, 557, 281]]"
2.6481192111968994,"[100, 100, 99, 99, 99, 97, 87, 84]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag']","[[546, 129, 609, 279], [187, 188, 202, 233], [7, 134, 47, 280], [34, 164, 73, 276], [600, 110, 640, 262], [132, 205, 150, 235], [489, 187, 543, 270], [63, 201, 77, 231]]"
2.226395606994629,"[100, 100, 100, 99, 98, 98, 91]","['person', 'person', 'person', 'person', 'person', 'person', 'person']","[[186, 188, 202, 233], [594, 106, 638, 266], [541, 131, 603, 274], [9, 134, 51, 278], [37, 165, 73, 274], [485, 193, 531, 274], [132, 205, 150, 235]]"
2.216891288757324,"[100, 100, 100, 99, 99, 96, 92, 90]","['person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person']","[[589, 106, 637, 270], [537, 131, 602, 280], [186, 188, 201, 233], [12, 133, 52, 279], [42, 163, 80, 273], [477, 196, 523, 269], [66, 200, 80, 231], [132, 205, 150, 235]]"
2.6716556549072266,"[100, 100, 100, 100, 99, 98, 92, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person']","[[532, 131, 597, 282], [586, 107, 635, 277], [15, 133, 53, 279], [186, 188, 201, 233], [46, 166, 78, 273], [478, 184, 534, 275], [67, 201, 83, 231], [132, 205, 150, 235]]"
3.0823450088500977,"[100, 100, 100, 100, 99, 97, 94, 86]","['person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person']","[[534, 131, 593, 281], [581, 105, 633, 280], [186, 188, 201, 233], [14, 133, 54, 279], [46, 164, 80, 274], [474, 198, 523, 278], [68, 200, 85, 231], [132, 205, 150, 235]]"
3.9144785404205322,"[100, 100, 100, 100, 98, 96, 94]","['person', 'person', 'person', 'person', 'person', 'person', 'person']","[[579, 103, 632, 280], [186, 188, 201, 233], [525, 131, 588, 282], [18, 137, 58, 278], [49, 163, 80, 273], [473, 199, 518, 277], [130, 205, 152, 235]]"
3.7978014945983887,"[100, 100, 99, 99, 99, 97, 97, 95, 91, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag']","[[576, 103, 631, 277], [524, 130, 591, 283], [17, 138, 66, 278], [186, 188, 200, 229], [466, 193, 516, 279], [53, 164, 85, 272], [613, 168, 638, 255], [130, 205, 152, 235], [36, 153, 75, 276], [72, 201, 86, 232]]"
3.2257142066955566,"[100, 99, 99, 99, 98, 96, 93, 92]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[573, 103, 630, 280], [512, 130, 593, 282], [19, 138, 78, 279], [185, 189, 200, 231], [55, 162, 89, 272], [612, 168, 637, 256], [130, 206, 152, 236], [465, 193, 519, 277]]"
3.1408913135528564,"[100, 100, 100, 99, 98, 97, 97, 93]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[569, 105, 629, 284], [518, 129, 578, 280], [20, 136, 85, 281], [186, 189, 201, 228], [59, 168, 94, 271], [130, 206, 152, 236], [610, 169, 634, 254], [463, 198, 509, 271]]"
