inference_time (millisec),conf_scores,class_names,bboxes
167.6008701324463,[],[],[]
233.94155502319336,[],[],[]
174.4101047515869,[],[],[]
151.49569511413574,[],[],[]
153.81741523742676,[],[],[]
149.7511863708496,[],[],[]
231.27245903015137,[],[],[]
172.5914478302002,[],[],[]
148.82612228393555,[81],['person'],"[[20, 152, 77, 281]]"
152.26030349731445,[93],['person'],"[[21, 148, 81, 280]]"
182.9235553741455,[89],['person'],"[[21, 142, 84, 280]]"
187.13855743408203,[84],['person'],"[[23, 142, 84, 281]]"
150.68435668945312,[],[],[]
158.31923484802246,[],[],[]
159.84845161437988,[],[],[]
156.36181831359863,[],[],[]
159.60383415222168,[],[],[]
157.5930118560791,[],[],[]
157.4399471282959,[],[],[]
152.06527709960938,[84],['person'],"[[55, 140, 103, 281]]"
158.20837020874023,[93],['person'],"[[57, 138, 105, 282]]"
146.15535736083984,"[94, 84]","['person', 'person']","[[58, 137, 107, 284], [580, 155, 613, 256]]"
152.04763412475586,[96],['person'],"[[59, 140, 109, 280]]"
154.91104125976562,"[97, 81]","['person', 'person']","[[60, 140, 111, 279], [578, 154, 609, 259]]"
148.97966384887695,"[98, 82]","['person', 'person']","[[61, 140, 113, 279], [576, 153, 607, 260]]"
152.81963348388672,"[97, 88]","['person', 'person']","[[64, 141, 114, 278], [0, 161, 37, 277]]"
161.32354736328125,"[95, 93, 80]","['person', 'person', 'person']","[[65, 141, 117, 279], [2, 162, 42, 276], [485, 108, 559, 298]]"
141.7562961578369,"[90, 89]","['person', 'person']","[[67, 139, 119, 280], [3, 163, 48, 275]]"
156.83460235595703,[89],['person'],"[[5, 161, 51, 275]]"
161.5161895751953,[],[],[]
154.68502044677734,[],[],[]
154.2065143585205,[],[],[]
158.62250328063965,[93],['person'],"[[17, 162, 65, 273]]"
159.70802307128906,[99],['person'],"[[23, 161, 67, 276]]"
155.53689002990723,"[99, 86, 80]","['person', 'person', 'person']","[[29, 162, 69, 275], [550, 157, 588, 260], [87, 132, 139, 282]]"
203.57441902160645,"[98, 90]","['person', 'person']","[[35, 161, 74, 275], [551, 158, 589, 258]]"
148.82683753967285,"[96, 95, 81]","['person', 'person', 'person']","[[548, 158, 587, 260], [41, 161, 77, 274], [88, 135, 135, 285]]"
192.5346851348877,"[96, 94, 90]","['person', 'person', 'person']","[[548, 157, 584, 260], [44, 162, 82, 277], [90, 136, 138, 284]]"
197.5698471069336,"[95, 95, 90]","['person', 'person', 'person']","[[546, 158, 583, 259], [91, 136, 142, 279], [43, 161, 86, 276]]"
169.600248336792,"[96, 90]","['person', 'person']","[[91, 137, 146, 281], [547, 157, 583, 260]]"
170.393705368042,"[95, 89]","['person', 'person']","[[93, 138, 150, 283], [550, 158, 582, 257]]"
170.35913467407227,"[92, 86, 82]","['person', 'person', 'person']","[[96, 140, 152, 283], [549, 159, 581, 254], [50, 157, 91, 273]]"
256.3512325286865,"[92, 90, 89]","['person', 'person', 'person']","[[99, 140, 152, 282], [56, 161, 94, 273], [548, 159, 579, 255]]"
154.34670448303223,"[90, 87, 84]","['person', 'person', 'person']","[[62, 162, 96, 271], [547, 160, 577, 257], [102, 139, 155, 280]]"
185.19139289855957,"[92, 86]","['person', 'person']","[[64, 161, 102, 272], [547, 158, 577, 260]]"
154.8144817352295,"[90, 84]","['person', 'person']","[[70, 163, 109, 271], [546, 159, 576, 261]]"
147.38917350769043,[89],['person'],"[[75, 160, 111, 275]]"
150.58207511901855,[88],['person'],"[[77, 163, 113, 275]]"
154.39438819885254,[],[],[]
154.93106842041016,[82],['person'],"[[121, 136, 169, 278]]"
156.74686431884766,"[89, 85]","['person', 'person']","[[125, 138, 172, 278], [88, 159, 131, 277]]"
151.14641189575195,[87],['person'],"[[126, 138, 172, 280]]"
155.84993362426758,[83],['person'],"[[130, 133, 175, 281]]"
157.47475624084473,[90],['person'],"[[130, 137, 175, 282]]"
161.79680824279785,[89],['person'],"[[133, 144, 182, 285]]"
162.37902641296387,[87],['person'],"[[128, 137, 181, 283]]"
167.78135299682617,[91],['person'],"[[128, 138, 182, 281]]"
214.56360816955566,[86],['person'],"[[131, 138, 182, 283]]"
156.3129425048828,[84],['person'],"[[132, 146, 185, 282]]"
146.96455001831055,[80],['person'],"[[132, 149, 186, 282]]"
244.30274963378906,[83],['person'],"[[333, 99, 417, 298]]"
168.55192184448242,"[96, 81]","['person', 'person']","[[322, 97, 423, 299], [519, 164, 558, 264]]"
151.98493003845215,[94],['person'],"[[326, 99, 423, 298]]"
152.12249755859375,[90],['person'],"[[334, 102, 427, 298]]"
154.3571949005127,"[81, 81]","['person', 'person']","[[510, 154, 547, 265], [576, 144, 619, 280]]"
148.3597755432129,[83],['person'],"[[510, 154, 546, 265]]"
153.84340286254883,"[88, 82]","['person', 'person']","[[575, 143, 619, 281], [508, 155, 544, 266]]"
153.35822105407715,[81],['person'],"[[578, 140, 618, 282]]"
