inference_time (millisec),conf_scores,class_names,bboxes
3.4942586421966553,"[87, 85, 83]","['person', 'person', 'person']","[[0, 134, 42, 275], [588, 104, 639, 277], [550, 127, 610, 273]]"
0.021651268005371094,"[87, 86, 84]","['person', 'person', 'person']","[[587, 105, 639, 277], [546, 128, 609, 273], [4, 134, 44, 274]]"
0.020090579986572266,"[87, 83]","['person', 'person']","[[539, 129, 616, 277], [7, 134, 47, 274]]"
0.021839618682861328,"[86, 83, 81]","['person', 'person', 'person']","[[588, 104, 639, 277], [533, 129, 604, 275], [12, 133, 49, 274]]"
0.020981550216674805,"[87, 83]","['person', 'person']","[[585, 104, 639, 277], [13, 133, 50, 274]]"
0.020198345184326172,[89],['person'],"[[582, 103, 639, 278]]"
0.02093219757080078,"[89, 82]","['person', 'person']","[[578, 102, 639, 276], [526, 129, 609, 275]]"
0.020990610122680664,"[88, 87, 82]","['person', 'person', 'person']","[[575, 102, 628, 276], [527, 128, 603, 274], [18, 137, 70, 275]]"
0.01977396011352539,"[87, 85, 84]","['person', 'person', 'person']","[[572, 101, 624, 279], [520, 128, 599, 275], [18, 134, 74, 275]]"
0.020000219345092773,"[87, 85, 85]","['person', 'person', 'person']","[[569, 101, 622, 281], [516, 127, 593, 275], [18, 133, 78, 275]]"
0.019963741302490234,"[89, 88, 86, 81]","['person', 'person', 'person', 'person']","[[18, 136, 82, 275], [511, 127, 582, 274], [562, 102, 620, 282], [60, 163, 99, 267]]"
0.019006729125976562,"[89, 87, 87]","['person', 'person', 'person']","[[18, 135, 84, 275], [552, 102, 618, 279], [511, 127, 574, 274]]"
0.01893782615661621,"[88, 88, 85]","['person', 'person', 'person']","[[551, 103, 617, 280], [18, 135, 83, 275], [506, 127, 565, 276]]"
0.019713163375854492,"[88, 88, 85, 82]","['person', 'person', 'person', 'person']","[[545, 103, 617, 281], [21, 133, 83, 275], [501, 127, 558, 276], [603, 157, 633, 251]]"
0.01963353157043457,"[89, 88, 87, 81]","['person', 'person', 'person', 'person']","[[543, 104, 616, 282], [24, 133, 83, 275], [495, 128, 556, 277], [600, 154, 633, 251]]"
0.01967167854309082,"[89, 87, 86, 81]","['person', 'person', 'person', 'person']","[[540, 103, 615, 283], [491, 128, 555, 277], [28, 133, 83, 274], [598, 154, 632, 252]]"
0.018960952758789062,"[90, 88, 88, 85]","['person', 'person', 'person', 'person']","[[537, 102, 613, 283], [595, 154, 631, 252], [493, 129, 554, 277], [33, 134, 83, 273]]"
0.019176483154296875,"[88, 87, 87, 85]","['person', 'person', 'person', 'person']","[[538, 101, 608, 283], [591, 153, 628, 253], [486, 129, 554, 278], [41, 134, 83, 273]]"
0.020009279251098633,"[89, 87, 85, 83]","['person', 'person', 'person', 'person']","[[537, 100, 602, 284], [482, 130, 553, 280], [587, 153, 626, 252], [49, 136, 84, 273]]"
0.019185543060302734,"[88, 87, 83, 82]","['person', 'person', 'person', 'person']","[[478, 130, 552, 280], [534, 100, 594, 284], [580, 153, 620, 254], [52, 134, 87, 273]]"
0.019698381423950195,"[88, 87, 83, 82]","['person', 'person', 'person', 'person']","[[475, 129, 553, 279], [531, 100, 585, 284], [54, 135, 90, 273], [579, 153, 615, 254]]"
0.022617578506469727,"[88, 85, 85, 82, 82]","['person', 'person', 'person', 'person', 'person']","[[472, 129, 551, 278], [528, 99, 577, 284], [581, 152, 613, 254], [56, 134, 98, 274], [0, 159, 21, 269]]"
0.01862025260925293,"[88, 88, 87, 85, 85]","['person', 'person', 'person', 'person', 'person']","[[523, 99, 574, 282], [469, 127, 545, 279], [58, 135, 107, 274], [0, 160, 25, 269], [580, 152, 611, 254]]"
0.018999576568603516,"[90, 87, 83, 83, 82]","['person', 'person', 'person', 'person', 'person']","[[58, 135, 112, 275], [519, 99, 571, 284], [466, 127, 537, 279], [579, 152, 609, 254], [0, 158, 30, 269]]"
0.018923521041870117,"[90, 87, 86, 86]","['person', 'person', 'person', 'person']","[[58, 136, 113, 275], [465, 127, 521, 278], [574, 152, 607, 254], [511, 99, 570, 284]]"
0.01935720443725586,"[89, 89, 86, 85, 84]","['person', 'person', 'person', 'person', 'person']","[[0, 158, 38, 270], [58, 136, 114, 275], [510, 100, 566, 284], [458, 126, 517, 280], [567, 153, 606, 254]]"
0.02303004264831543,"[89, 89, 86, 86, 86]","['person', 'person', 'person', 'person', 'person']","[[0, 157, 41, 269], [58, 135, 114, 275], [562, 153, 604, 255], [453, 127, 513, 275], [486, 100, 565, 285]]"
0.0207672119140625,"[91, 87, 87, 86, 86]","['person', 'person', 'person', 'person', 'person']","[[2, 157, 51, 269], [58, 135, 115, 274], [448, 127, 511, 272], [478, 101, 565, 285], [559, 153, 604, 254]]"
0.018656253814697266,"[91, 91, 88, 86]","['person', 'person', 'person', 'person']","[[2, 157, 58, 269], [479, 102, 564, 286], [445, 127, 507, 278], [59, 134, 115, 275]]"
0.019004106521606445,"[90, 90, 88, 87, 86]","['person', 'person', 'person', 'person', 'person']","[[3, 159, 61, 269], [476, 102, 564, 285], [557, 154, 603, 255], [442, 127, 503, 279], [63, 133, 115, 275]]"
0.019020795822143555,"[91, 90, 86, 86, 85]","['person', 'person', 'person', 'person', 'person']","[[5, 159, 62, 269], [476, 102, 563, 285], [437, 128, 499, 279], [556, 155, 604, 255], [67, 133, 115, 275]]"
0.01851177215576172,"[90, 89, 89, 85, 82]","['person', 'person', 'person', 'person', 'person']","[[7, 159, 63, 269], [476, 102, 562, 285], [552, 154, 603, 255], [70, 133, 116, 275], [433, 129, 494, 278]]"
0.020507097244262695,"[89, 89, 88, 86, 81]","['person', 'person', 'person', 'person', 'person']","[[12, 158, 64, 269], [475, 102, 558, 286], [551, 155, 603, 256], [429, 130, 491, 281], [76, 133, 116, 274]]"
0.01898646354675293,"[90, 89, 88, 86, 82]","['person', 'person', 'person', 'person', 'person']","[[20, 159, 68, 268], [551, 154, 601, 256], [474, 101, 552, 285], [428, 131, 487, 281], [80, 133, 118, 275]]"
0.01842522621154785,"[88, 88, 87, 85, 81]","['person', 'person', 'person', 'person', 'person']","[[551, 154, 599, 256], [29, 158, 71, 268], [473, 100, 545, 284], [425, 130, 483, 281], [86, 133, 121, 275]]"
0.019304990768432617,"[89, 88, 87, 84]","['person', 'person', 'person', 'person']","[[472, 99, 534, 285], [551, 154, 597, 256], [35, 158, 74, 268], [419, 129, 482, 281]]"
0.019122838973999023,"[89, 88, 87, 86]","['person', 'person', 'person', 'person']","[[469, 98, 523, 286], [39, 158, 77, 268], [415, 129, 488, 281], [551, 154, 593, 256]]"
0.01961350440979004,"[89, 88, 86, 85]","['person', 'person', 'person', 'person']","[[466, 98, 513, 286], [43, 158, 81, 268], [92, 132, 139, 274], [550, 154, 587, 256]]"
0.019111156463623047,"[90, 88, 87, 87, 81]","['person', 'person', 'person', 'person', 'person']","[[44, 158, 88, 268], [461, 97, 510, 289], [93, 133, 146, 274], [409, 128, 483, 281], [549, 154, 583, 257]]"
0.021075963973999023,"[90, 90, 89, 86, 83]","['person', 'person', 'person', 'person', 'person']","[[94, 134, 151, 275], [44, 158, 94, 268], [455, 97, 508, 292], [407, 127, 473, 281], [548, 154, 578, 256]]"
0.01894688606262207,"[90, 90, 88, 82, 81]","['person', 'person', 'person', 'person', 'person']","[[94, 134, 154, 275], [44, 158, 96, 268], [443, 98, 507, 290], [546, 153, 575, 257], [569, 168, 590, 243]]"
0.01811385154724121,"[90, 89, 87, 85, 82]","['person', 'person', 'person', 'person', 'person']","[[94, 134, 155, 275], [46, 158, 96, 268], [437, 98, 506, 290], [567, 168, 591, 243], [398, 126, 458, 283]]"
0.01833486557006836,"[88, 87, 86, 86, 82]","['person', 'person', 'person', 'person', 'person']","[[50, 158, 99, 268], [394, 126, 451, 279], [434, 98, 505, 291], [94, 133, 155, 275], [566, 168, 592, 243]]"
0.020000696182250977,"[89, 88, 87, 85, 84, 81]","['person', 'person', 'person', 'person', 'person', 'person']","[[56, 158, 102, 268], [391, 127, 450, 281], [94, 133, 151, 275], [430, 98, 506, 292], [567, 167, 592, 243], [542, 154, 572, 256]]"
0.019331693649291992,"[88, 88, 88, 87, 84]","['person', 'person', 'person', 'person', 'person']","[[387, 126, 448, 280], [63, 158, 106, 268], [428, 97, 504, 293], [95, 134, 154, 275], [567, 167, 594, 244]]"
0.019026517868041992,"[90, 89, 88, 87, 83]","['person', 'person', 'person', 'person', 'person']","[[383, 129, 448, 281], [71, 158, 109, 267], [426, 97, 503, 291], [99, 134, 154, 275], [567, 167, 595, 243]]"
0.01934218406677246,"[89, 88, 88, 87, 83]","['person', 'person', 'person', 'person', 'person']","[[425, 95, 501, 292], [101, 134, 154, 274], [379, 130, 447, 281], [75, 158, 112, 267], [567, 166, 593, 243]]"
0.019003629684448242,"[90, 90, 88, 85, 83, 82]","['person', 'person', 'person', 'person', 'person', 'person']","[[423, 93, 493, 292], [375, 129, 446, 282], [78, 158, 117, 267], [106, 134, 156, 275], [566, 166, 593, 244], [533, 154, 569, 258]]"
0.018786191940307617,"[89, 88, 87, 83, 81, 81]","['person', 'person', 'person', 'person', 'person', 'person']","[[372, 129, 447, 282], [80, 158, 120, 267], [420, 92, 487, 293], [532, 155, 569, 258], [565, 166, 593, 243], [112, 133, 156, 274]]"
0.01975417137145996,"[89, 85, 84, 83, 82]","['person', 'person', 'person', 'person', 'person']","[[81, 159, 122, 267], [368, 129, 444, 284], [564, 166, 593, 243], [532, 154, 568, 258], [419, 91, 478, 291]]"
0.018982648849487305,"[87, 87, 83, 82, 82]","['person', 'person', 'person', 'person', 'person']","[[418, 91, 466, 291], [81, 159, 127, 267], [532, 154, 568, 258], [124, 133, 158, 274], [564, 165, 593, 243]]"
